Показатель;Значение;
Сечение;"Двутавр из швеллеров";
Наименование;"Колонна срощенная швеллерами №27";
Сортамент;"Т27 ТУ 14-2-204-76";
"Размеры, мм";"b=60,00  h=270,00  tw=4,50  tf=7,30";
"Масса одной конструкции, кг";6531,20;
"Общая масса, кг";777212,80;
"Обогреваемый периметр  по контуру, мм";1002,00;
"Обогреваемый периметр  для коробчатой облицовки, мм";780,00;
"Площадь поперечного сечения, мм";4160,00;
"Приведенная толщина по контуру tred, мм";4,15;
"Приведенная толщина для коробчатой облицовки tred box, мм";5,33;
"A/V, м ˉ¹";240,87;
"A/V box, м ˉ¹";187,50;
"Длина конструкции, м";200,00;
"Количество, шт";119,00;
"Площадь обработки одной конструкции по контуру, м²";200,400;
"Площадь обработки всех конструкций по контуру, м²";23847,600;
"Площадь обработки одной конструкции при коробчатой облицовки, м²";156,000;
"Площадь обработки всех конструкций при коробчатой облицовки, м²";18564,000;
"Моменты инерции сечения Ix,Iy, Imin см 4";"4436,000; 212,338; 212,338";
"Упругие моменты сопротивления сечения Wx;Wy; Wmin, см³";"328,593; 35,390; 35,390";
"Пластические моменты сопротивления сечения Wplx;Wply; Wplmin, см³";"378,963; 52,023; 52,023";
"Статические моменты полусечения Sx,Sy см³";"194,950; 29,227";
Сталь;С345;
"Плотность стали ρ, кг/м³";7850,00;
"Нормативное сопротивление стали Rуп, МПа";345,00;
"Расчетное сопротивление стали Ry, МПа";345,00;
"Модуль упругости стали, МПа";206000,00;
"Зависимость свойств стали от температуры";"σ 0.2%  и  E по данным СССР";
"Вид нагружения конструкции";"Назначенная критическая температура";
"Температурный режим пожара";"Стандартный температурный режим";
"Критическая температура θcr,°С";800,00;
"Собственный предел огнестойкости, мин";24,62;
"Требуемый предел огнестойкости конструкции, мин  ";15;
"Толщина огнезащитного материала, мм";0,00;
"Потери, %";5,00;
"Расход на м², кг/м²";0,000;
"Расход на метр пог., кг/м п";0,000;
"Расход на тонну металлоконструкции, кг/т";0,00;
"Количество огнезащитного материала на одну конструкцию, кг";0,000;
