Показатель;Значение;
Сечение;Двутавр;
Наименование;"Двутавр №40 25Y";
Сортамент;"40 ГОСТ 8239-89";
"Размеры, мм";"b=155,00  h=400,00  tw=8,30  tf=13,00";
"Масса одной конструкции, кг";10258,38;
"Общая масса, кг";41033,52;
"Обогреваемый периметр  по контуру, мм";1403,40;
"Обогреваемый периметр  для коробчатой облицовки, мм";1110,00;
"Площадь поперечного сечения, мм";7260,00;
"Приведенная толщина по контуру tred, мм";5,17;
"Приведенная толщина для коробчатой облицовки tred box, мм";6,54;
"A/V, м ˉ¹";193,31;
"A/V box, м ˉ¹";152,89;
"Длина конструкции, м";180,00;
"Количество, шт";4,00;
"Площадь обработки одной конструкции по контуру, м²";252,612;
"Площадь обработки всех конструкций по контуру, м²";1010,448;
"Площадь обработки одной конструкции при коробчатой облицовки, м²";199,800;
"Площадь обработки всех конструкций при коробчатой облицовки, м²";799,200;
"Моменты инерции сечения Ix,Iy, Imin см 4";"19062,000; 667,000; 667,000";
"Упругие моменты сопротивления сечения Wx;Wy; Wmin, см³";"953,000; 86,100; 86,100";
"Пластические моменты сопротивления сечения Wplx;Wply; Wplmin, см³";"1053,149; 126,567; 126,567";
"Статические моменты полусечения Sx,Sy см³";"546,229; 74,989";
Сталь;С345;
"Плотность стали ρ, кг/м³";7850,00;
"Нормативное сопротивление стали Rуп, МПа";325,00;
"Расчетное сопротивление стали Ry, МПа";13,00;
"Модуль упругости стали, МПа";206000,00;
"Зависимость свойств стали от температуры";"σ 0.2%  и  E по данным СССР";
"Вид нагружения конструкции";"Назначенная критическая температура";
"Температурный режим пожара";"Стандартный температурный режим";
"Критическая температура θcr,°С";800,00;
"Собственный предел огнестойкости, мин";25,23;
"Требуемый предел огнестойкости конструкции, мин  ";15;
"Толщина огнезащитного материала, мм";0,00;
"Потери, %";5,00;
"Расход на м², кг/м²";0,000;
"Расход на метр пог., кг/м п";0,000;
"Расход на тонну металлоконструкции, кг/т";0,00;
"Количество огнезащитного материала на одну конструкцию, кг";0,000;
